FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
18-472	Beef, rump steak, lean and fat, fried	Beef, rump steak, lean and fat, fried	A0714 A0794 B1161 C0269 E0152 F0014 G0024 H0233 J0001 K0003 M0001 N0001 P0024 Z0019	
18-471	Beef, rump steak, lean and fat, raw	Beef, rump steak, lean and fat, raw	A0714 A0794 B1161 C0269 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
18-473	Beef, rump steak, lean only, fried	Beef, rump steak, lean only, fried	A0714 A0794 B1161 C0270 E0152 F0014 G0024 H0233 J0001 K0003 M0001 N0001 P0024 Z0019 Z0106	
18-474	Beef, rump steak, lean only, grilled	Beef, rump steak, lean only, grilled	A0714 A0794 B1161 C0270 E0152 F0014 G0006 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0106	
18-043	Beef, rump steak, raw, lean	Beef, rump steak, raw, lean		
18-052	Beef, rump steak, strips, stir-fried, lean	Beef, rump steak, strips, stir-fried, lean	A0714 A0794 B1161 C0270 E0115 F0014 G0006 G0028 H0233 J0001 K0003 M0001 N0001 P0024 Z0019 Z0106	
18-053	Beef, rump steak, strips, stir-fried, lean and fat	Beef, rump steak, strips, stir-fried, lean and fat		
50-377	Beef, salted, dried, raw	Beef, salted, dried, raw		
18-056	Beef, silverside, pot-roasted, lean	Beef, silverside, pot-roasted, lean		
18-057	Beef, silverside, pot-roasted, lean and fat	Beef, silverside, pot-roasted, lean and fat		
18-054	Beef, silverside, raw, lean	Beef, silverside, raw, lean		
18-055	Beef, silverside, raw, lean and fat	Beef, silverside, raw, lean and fat		
18-060	Beef, silverside, salted, boiled, lean	Beef, silverside, salted, boiled, lean	A0714 A0797 B1161 C0270 E0137 F0014 G0006 G0014 G0028 H0003 H0173 J0001 K0003 M0001 N0001 P0024 Z0019	
18-061	Beef, silverside, salted, boiled, lean and fat	Beef, silverside, salted, boiled, lean and fat		
18-058	Beef, silverside, salted, raw, lean	Beef, silverside, salted, raw, lean		
18-059	Beef, silverside, salted, raw, lean and fat	Beef, silverside, salted, raw, lean and fat		
18-062	Beef, sirloin joint, roasted, lean	Beef, sirloin joint, roasted, lean		
18-063	Beef, sirloin joint, roasted, lean and fat	Beef, sirloin joint, roasted, lean and fat	A0714 A0794 B1161 C0269 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0027	
18-066	Beef, sirloin steak, fried, lean	Beef, sirloin steak, fried, lean		
18-067	Beef, sirloin steak, fried, lean and fat	Beef, sirloin steak, fried, lean and fat		
18-074	Beef, sirloin steak, from steakhouse, lean	Beef, sirloin steak, from steakhouse, lean		
18-075	Beef, sirloin steak, from steakhouse, lean and fat	Beef, sirloin steak, from steakhouse, lean and fat		
18-070	Beef, sirloin steak, grilled medium-rare, lean	Beef, sirloin steak, grilled medium-rare, lean		
18-071	Beef, sirloin steak, grilled medium-rare, lean and fat	Beef, sirloin steak, grilled medium-rare, lean and fat		
18-068	Beef, sirloin steak, grilled rare, lean	Beef, sirloin steak, grilled rare, lean		
18-069	Beef, sirloin steak, grilled rare, lean and fat	Beef, sirloin steak, grilled rare, lean and fat		
18-072	Beef, sirloin steak, grilled well-done, lean	Beef, sirloin steak, grilled well-done, lean		
18-073	Beef, sirloin steak, grilled well-done, lean and fat	Beef, sirloin steak, grilled well-done, lean and fat		
18-064	Beef, sirloin steak, raw, lean	Beef, sirloin steak, raw, lean		
18-065	Beef, sirloin steak, raw, lean and fat	Beef, sirloin steak, raw, lean and fat	A0714 A0794 B1161 C0269 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0027	
18-082	Beef, stewing steak, frozen, stewed, lean	Beef, stewing steak, frozen, stewed, lean		
18-083	Beef, stewing steak, frozen, stewed, lean and fat	Beef, stewing steak, frozen, stewed, lean and fat		
18-078	Beef, stewing steak, pressure cooked, lean	Beef, stewing steak, pressure cooked, lean		
18-079	Beef, stewing steak, pressure cooked, lean and fat	Beef, stewing steak, pressure cooked, lean and fat		
18-076	Beef, stewing steak, raw, lean	Beef, stewing steak, raw, lean		
18-077	Beef, stewing steak, raw, lean and fat	Beef, stewing steak, raw, lean and fat	A0714 A0794 B1161 C0269 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
18-080	Beef, stewing steak, stewed, lean	Beef, stewing steak, stewed, lean		
18-081	Beef, stewing steak, stewed, lean and fat	Beef, stewing steak, stewed, lean and fat	A0714 A0794 B1161 C0269 E0152 F0014 G0020 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
19-335	Beef, stir-fried with green peppers	Beef, stir-fried with green peppers	A0714 A0799 B1161 C0268 E0110 F0014 G0028 H0151 H0212 H0396 J0003 K0003 M0003 N0001 P0024 R0001	
18-086	Beef, topside, microwaved, lean	Beef, topside, microwaved, lean		
18-087	Beef, topside, microwaved, lean and fat	Beef, topside, microwaved, lean and fat		
18-084	Beef, topside, raw, lean	Beef, topside, raw, lean		
18-085	Beef, topside, raw, lean and fat	Beef, topside, raw, lean and fat	A0714 A0794 B1161 C0269 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
18-088	Beef, topside, roasted medium-rare, lean	Beef, topside, roasted medium-rare, lean		
18-089	Beef, topside, roasted medium-rare, lean and fat	Beef, topside, roasted medium-rare, lean and fat		
18-090	Beef, topside, roasted well-done, lean	Beef, topside, roasted well-done, lean	A0714 A0794 B1161 C0270 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0106	
18-091	Beef, topside, roasted well-done, lean and fat	Beef, topside, roasted well-done, lean and fat	A0714 A0794 B1161 C0269 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
19-038	Beefburgers in gravy, canned	Beefburgers in gravy, canned		
19-029	Beefburgers, chilled/frozen, fried	Beefburgers, chilled/frozen, fried	A0714 A0799 B1161 C0267 E0147 F0014 G0024 H0241 J0142 K0003 M0001 N0001 P0024	
19-030	Beefburgers, chilled/frozen, grilled	Beefburgers, chilled/frozen, grilled	A0714 A0799 B1161 C0267 E0147 F0014 G0006 H0241 J0142 K0003 M0001 N0001 P0024	
19-309	Beefburgers, chilled/frozen, raw	Beefburgers, chilled/frozen, raw	A0714 A0799 B1161 C0267 E0147 F0003 G0003 H0241 J0142 K0003 M0001 N0001 P0024	
19-354	Beefburgers, homemade, fried	Beefburgers, homemade, fried		
19-356	Beefburgers, homemade, fried with bun	Beefburgers, homemade, fried with bun		
19-355	Beefburgers, homemade, grilled	Beefburgers, homemade, grilled		
19-357	Beefburgers, homemade, grilled, with bun	Beefburgers, homemade, grilled, with bun		
19-036	Beefburgers, low fat, chilled/frozen, fried	Beefburgers, low fat, chilled/frozen, fried		
19-037	Beefburgers, low fat, chilled/frozen, grilled	Beefburgers, low fat, chilled/frozen, grilled		
19-035	Beefburgers, low fat, chilled/frozen, raw	Beefburgers, low fat, chilled/frozen, raw		
17-506	Beer, bitter, average	Beer, bitter, average	A0711 A0847 B1230 C0102 E0123 F0014 G0003 H0148 H0246 H0253 H0256 H0753 J0104 K0003 M0001 N0001 P0024	
50-1094	Beer, bitter, canned	Beer, bitter, canned	A0711 A0847 B1230 C0102 E0123 F0014 G0003 H0148 H0246 H0253 H0256 H0753 J0104 K0003 M0204 N0001 P0024	
50-1095	Beer, bitter, draught	Beer, bitter, draught	A0711 A0847 B1230 C0102 E0123 F0014 G0003 H0148 H0246 H0253 H0256 H0753 J0104 K0003 M0198 N0001 P0024	
50-1096	Beer, bitter, keg	Beer, bitter, keg	A0711 A0847 B1230 C0102 E0123 F0014 G0003 H0148 H0246 H0253 H0256 H0753 J0104 K0003 M0198 N0001 P0024	
17-215	Beer, mild, draught	Beer, mild, draught		
13-165	Beetroot, boiled in salted water	Beetroot, boiled in salted water	A0705 A0826 B1309 C0240 E0151 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-166	Beetroot, pickled, drained	Beetroot, pickled, drained	A0705 A0827 B1309 C0240 E0137 F0014 G0003 H0190 H0200 J0001 K0011 M0001 N0001 P0024 Z0219	
13-164	Beetroot, raw	Beetroot, raw	A0705 A0826 B1309 C0240 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
16-003	Bele, raw	Bele, raw		
13-807	Betel leaves, fresh	Betel leaves, fresh		
14-806	Betel nuts	Betel nuts		
15-391	Bhaji, aubergine and potato	Bhaji, aubergine and potato		
15-392	Bhaji, aubergine, pea, potato and cauliflower	Bhaji, aubergine, pea, potato and cauliflower		
15-393	Bhaji, cabbage	Bhaji, cabbage		
15-394	Bhaji, cabbage and pea, with butter ghee	Bhaji, cabbage and pea, with butter ghee		
15-395	Bhaji, cabbage and pea, with vegetable oil	Bhaji, cabbage and pea, with vegetable oil		
15-396	Bhaji, cabbage and potato, with butter	Bhaji, cabbage and potato, with butter		
15-397	Bhaji, cabbage and potato, with vegetable oil	Bhaji, cabbage and potato, with vegetable oil		
15-016	Bhaji, cabbage and spinach	Bhaji, cabbage and spinach		
15-398	Bhaji, carrot, potato and pea, with butter	Bhaji, carrot, potato and pea, with butter		
15-399	Bhaji, carrot, potato and pea, with vegetable oil	Bhaji, carrot, potato and pea, with vegetable oil		
15-400	Bhaji, cauliflower	Bhaji, cauliflower		
15-401	Bhaji, cauliflower and potato	Bhaji, cauliflower and potato		
15-402	Bhaji, cauliflower and vegetable	Bhaji, cauliflower and vegetable		
15-021	Bhaji, cauliflower, potato and pea, with butter	Bhaji, cauliflower, potato and pea, with butter		
15-022	Bhaji, cauliflower, potato and pea, with vegetable oil	Bhaji, cauliflower, potato and pea, with vegetable oil		
15-024	Bhaji, green bean	Bhaji, green bean		
15-025	Bhaji, karela, with butter ghee	Bhaji, karela, with butter ghee		
15-026	Bhaji, karela, with vegetable oil	Bhaji, karela, with vegetable oil		
15-403	Bhaji, mushroom	Bhaji, mushroom		
15-404	Bhaji, mustard leaves	Bhaji, mustard leaves		
15-405	Bhaji, mustard leaves and spinach	Bhaji, mustard leaves and spinach		
15-406	Bhaji, okra, Bangladeshi, with butter ghee	Bhaji, okra, Bangladeshi, with butter ghee		
15-407	Bhaji, okra, Bangladeshi, with vegetable oil	Bhaji, okra, Bangladeshi, with vegetable oil		
15-408	Bhaji, okra, Islami	Bhaji, okra, Islami		
15-409	Bhaji, pea	Bhaji, pea		
15-412	Bhaji, potato and fenugreek leaves	Bhaji, potato and fenugreek leaves		
15-413	Bhaji, potato and green pepper	Bhaji, potato and green pepper		
15-414	Bhaji, potato and onion	Bhaji, potato and onion		
15-415	Bhaji, potato, onion and mushroom	Bhaji, potato, onion and mushroom		
15-040	Bhaji, potato, spinach and cauliflower	Bhaji, potato, spinach and cauliflower		
15-410	Bhaji, potato, with butter ghee	Bhaji, potato, with butter ghee		
15-411	Bhaji, potato, with vegetable oil	Bhaji, potato, with vegetable oil		
15-416	Bhaji, spinach	Bhaji, spinach		
15-417	Bhaji, spinach and potato	Bhaji, spinach and potato		
15-418	Bhaji, turnip	Bhaji, turnip		
15-419	Bhaji, turnip and onion	Bhaji, turnip and onion		
15-047	Bhaji, vegetable, Punjabi, with butter	Bhaji, vegetable, Punjabi, with butter		
15-048	Bhaji, vegetable, Punjabi, with vegetable oil	Bhaji, vegetable, Punjabi, with vegetable oil		
15-420	Bhaji, vegetable, with butter	Bhaji, vegetable, with butter		
15-421	Bhaji, vegetable, with vegetable oil	Bhaji, vegetable, with vegetable oil		
17-356	Bicarbonate of soda	Bicarbonate of soda		
19-096	Bierwurst	Bierwurst		
19-310	Big Mac	Big Mac	A0714 A0799 B1161 C0267 E0147 F0014 G0004 H0101 H0143 H0319 J0001 K0003 M0156 N0001 P0024 Z0111	
14-047	Bilberries	Bilberries		
15-357	biryani, vegetable, takeaway	biryani, vegetable, takeaway		
11-635	Biscuits, homemade, creaming method	Biscuits, homemade, creaming method		
11-636	Biscuits, homemade, rubbing-in method	Biscuits, homemade, rubbing-in method		
11-637	Biscuits, homemade, wholemeal	Biscuits, homemade, wholemeal		
11-638	Biscuits, melting moments, homemade	Biscuits, melting moments, homemade		
17-208	Bitter, best/premium	Bitter, best/premium	A0711 A0847 B1230 C0102 E0123 F0014 G0003 H0148 H0246 H0253 H0256 H0753 J0104 K0003 M0001 N0001 P0024	
17-209	Bitter, low alcohol	Bitter, low alcohol		
17-291	Black bean sauce	Black bean sauce		
13-059	Black gram, chilki urad dahl, dried, boiled in unsalted water	Black gram, chilki urad dahl, dried, boiled in unsalted water		
13-058	Black gram, chilki urad dahl, dried, raw	Black gram, chilki urad dahl, dried, raw		
13-061	Black gram, duhli urad dahl, dried, boiled in unsalted water	Black gram, duhli urad dahl, dried, boiled in unsalted water		
13-060	Black gram, duhli urad dahl, dried, raw	Black gram, duhli urad dahl, dried, raw		
13-057	Black gram, urad gram, dried, boiled in unsalted water	Black gram, urad gram, dried, boiled in unsalted water	A0704 A0831 B1588 C0133 E0150 F0014 G0015 H0003 H0148 H0259 J0116 K0003 M0003 N0001 P0024 P0078	
13-056	Black gram, urad gram, dried, raw	Black gram, urad gram, dried, raw	A0704 A0831 B1588 C0133 E0150 F0001 G0003 H0003 J0116 K0003 M0003 N0001 P0024	
19-114	Black pudding, dry-fried	Black pudding, dry-fried	A0714 A0798 B1136 C0185 E0147 F0014 G0030 H0117 H0221 J0001 K0003 M0001 N0001 P0024	
19-113	Black pudding, raw	Black pudding, raw	A0714 A0798 B1136 C0185 E0147 F0003 G0003 H0117 H0221 J0001 K0003 M0001 N0001 P0024	
14-048	Blackberries, raw	Blackberries, raw	A0707 A0833 B1407 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-049	Blackberries, stewed with sugar	Blackberries, stewed with sugar	A0707 A0834 B1407 C0140 E0150 F0014 G0020 H0148 H0158 J0001 K0003 M0001 N0001 P0024	
14-050	Blackberries, stewed without sugar	Blackberries, stewed without sugar	A0707 A0834 B1407 C0140 E0150 F0014 G0020 H0148 J0001 K0003 M0001 N0001 P0024 P0091	
14-051	Blackberry and apple, stewed with sugar	Blackberry and apple, stewed with sugar		
14-052	Blackberry and apple, stewed without sugar	Blackberry and apple, stewed without sugar		
17-188	Blackcurrant juice drink, concentrated, made up	Blackcurrant juice drink, concentrated, made up		
17-187	Blackcurrant juice drink, undiluted	Blackcurrant juice drink, undiluted	A0708 A0841 B1192 C0300 E0139 F0001 G0003 H0136 H0148 H0150 H0163 H0200 H0215 J0001 K0003 M0214 N0001 P0024 R0001	
17-434	Blackcurrant seed oil	Blackcurrant seed oil		
14-056	Blackcurrants, canned in juice	Blackcurrants, canned in juice	A0707 A0834 B1192 C0140 E0150 F0014 G0003 H0003 J0123 K0039 M0204 N0001 P0024 Z0220	
14-057	Blackcurrants, canned in syrup	Blackcurrants, canned in syrup	A0707 A0834 B1192 C0140 E0150 F0014 G0003 H0003 J0123 K0023 M0204 N0001 P0024 Z0220	
14-053	Blackcurrants, raw	Blackcurrants, raw	A0707 A0833 B1192 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-054	Blackcurrants, stewed with sugar	Blackcurrants, stewed with sugar	A0707 A0834 B1192 C0140 E0150 F0014 G0020 H0148 H0158 J0001 K0003 M0001 N0001 P0024	
14-055	Blackcurrants, stewed without sugar	Blackcurrants, stewed without sugar	A0707 A0834 B1192 C0140 E0150 F0014 G0020 H0148 J0001 K0003 M0001 N0001 P0024 P0091	
13-063	Blackeye beans, dried, boiled in unsalted water	Blackeye beans, dried, boiled in unsalted water	A0704 A0831 B1100 C0133 E0150 F0014 G0015 H0148 H0259 J0116 K0003 M0001 N0001 P0024 P0078	
13-062	Blackeye beans, dried, raw	Blackeye beans, dried, raw	A0704 A0831 B1100 C0133 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
12-452	Blancmange	Blancmange		
17-015	Blended spread (70-80% fat)	Blended spread (70-80% fat)	A0701 A0807 B1201 C0216 E0119 F0014 G0003 H0148 H0150 H0194 H0213 H0214 H0217 H0227 H0263 H0306 J0131 J0135 K0003 M0001 N0001 P0024	
17-016	Blended spread, (40% fat)	Blended spread, (40% fat)	A0701 A0807 B1201 C0179 E0119 F0014 G0003 H0148 H0242 H0263 H0306 J0131 J0135 K0003 M0001 N0001 P0024 P0040 P0059	
16-170	Bloater, grilled	Bloater, grilled		
16-171	Bloater, grilled, weighed with bones and skin	Bloater, grilled, weighed with bones and skin		
16-004	Boal, raw	Boal, raw		
17-101	Boiled sweets	Boiled sweets	A0698 A0838 B1012 C0108 E0147 F0014 G0003 H0117 H0150 J0001 K0003 M0001 N0001 P0024 R0001	
19-352	Bolognese sauce (with meat)	Bolognese sauce (with meat)	A0714 A0799 B1161 C0268 E0110 F0014 G0020 G0026 H0151 H0212 J0003 K0003 M0003 N0001 P0024 R0001	
16-005	Bombay duck	Bombay duck		
14-807	Bombay mix	Bombay mix	A0722 A0868 B1588 C0132 E0151 F0001 G0003 H0117 H0138 H0212 H0263 J0001 K0003 M0001 N0001 P0024 R0001	
17-435	Borage oil	Borage oil		
17-597	Bouillabaisse	Bouillabaisse		
